year,collecting_dat_m/dd/yyyy,plot,management,climate,species,individual,capsel,Seed_count,unviable,status,herbivory,ripe,comments,unviable_seeds,edge_of_plot,sepcific_comment,
2018,5/2/2018,6_1,grazing,future,Bro_ere,1,1,91,,,,,,,,,
2018,5/2/2018,6_1,grazing,future,Bro_ere,3,1,114,,,,,,,,,
2018,5/2/2018,6_3,mowing,future,Bro_ere,1,1,129,,,,,,,,,
2018,5/2/2018,6_3,mowing,future,Bro_ere,2,1,62,,,,,,,,,
2018,5/2/2018,7_2,mowing,future,Bro_ere,1,1,127,,,,,,,,,
2018,5/2/2018,7_2,mowing,future,Bro_ere,2,2,45,,,,,,,,,
2018,5/2/2018,7_3,grazing,future,Bro_ere,2,1,83,,,,,,,,,
2018,5/2/2018,7_3,grazing,future,Bro_ere,1,1,127,,,,,,,,,
2018,5/2/2018,7_3,grazing,future,Bro_ere,3,1,118,,,,,,,,,
2018,5/2/2018,8_2,grazing,ambient,Bro_ere,3,1,62,,,,,,,,,
2018,5/2/2018,8_2,grazing,ambient,Bro_ere,1,1,66,,,,,,,,,
2018,5/2/2018,8_2,grazing,ambient,Bro_ere,2,1,103,,,,,,,,,
2018,5/2/2018,8_3,mowing,ambient,Bro_ere,2,1,49,,,,,,,,,
2018,5/2/2018,8_3,mowing,ambient,Bro_ere,1,1,64,,,,,,,,,
2018,5/2/2018,9_1,mowing,future,Bro_ere,2,1,74,,,,,,,,,
2018,5/2/2018,9_1,mowing,future,Bro_ere,1,1,76,,,,,,,,,
2018,5/2/2018,9_4,grazing,future,Bro_ere,1,1,121,,,,,,,,,
2018,5/2/2018,9_4,grazing,future,Bro_ere,3,1,51,,,,,,,,,
2018,5/2/2018,9_4,grazing,future,Bro_ere,2,1,92,,,,,,,,,
2019,6/6/2019,1_1,mowing,ambient,Bro_ere,1,,74,,,,,,,,,
2019,6/6/2019,1_1,mowing,ambient,Bro_ere,2,,160,,,,,,,,,
2019,6/6/2019,1_3,grazing,ambient,Bro_ere,2,,110,,,,,,,,,
2019,6/6/2019,1_3,grazing,ambient,Bro_ere,1,,127,,,,,,,,,
2019,6/6/2019,10_1,grazing,ambient,Bro_ere,1,,168,,,,,,,,,
2019,6/6/2019,10_1,grazing,ambient,Bro_ere,2,,101,,,,,,,,,
2019,6/6/2019,10_2,mowing,ambient,Bro_ere,1,,67,,,,,,,,,
2019,6/6/2019,10_2,mowing,ambient,Bro_ere,2,,101,,,,,2_shoots_maybe_2_Indiv,,,,
2019,6/6/2019,2_2,grazing,future,Bro_ere,2,,98,,,,,,,,,
2019,6/6/2019,2_2,grazing,future,Bro_ere,1,,93,,,,,,,,,
2019,6/6/2019,2_5,mowing,future,Bro_ere,2,,61,,,,,,,,,
2019,6/6/2019,2_5,mowing,future,Bro_ere,1,,119,,,,,,,,,
2019,6/6/2019,3_4,mowing,ambient,Bro_ere,2,,154,,,,,,,,,
2019,6/6/2019,3_4,mowing,ambient,Bro_ere,1,,94,,,,,,,,,
2019,6/6/2019,3_5,grazing,ambient,Bro_ere,2,,94,,,,,,,,,
2019,6/6/2019,3_5,grazing,ambient,Bro_ere,1,,93,,,,,,,,,
2019,6/6/2019,4_4,mowing,future,Bro_ere,1,,131,,,,,,,,,
2019,6/6/2019,4_4,mowing,future,Bro_ere,2,,132,,,,,,,,,
2019,6/6/2019,4_5,grazing,future,Bro_ere,2,,137,,,,,,,,,
2019,6/6/2019,4_5,grazing,future,Bro_ere,1,,133,,,,,,,,,
2019,6/6/2019,5_4,grazing,ambient,Bro_ere,2,,83,,,,,,,,,
2019,6/6/2019,5_4,grazing,ambient,Bro_ere,1,,72,,,,,,,,,
2019,6/6/2019,5_5,mowing,ambient,Bro_ere,1,,164,,,,,,,,,
2019,6/6/2019,5_5,mowing,ambient,Bro_ere,2,,82,,,,,,,,,
2019,6/6/2019,6_1,grazing,future,Bro_ere,1,,106,,,,,,,,,
2019,6/6/2019,6_1,grazing,future,Bro_ere,2,,62,,,,,,,,,
2019,6/6/2019,6_3,mowing,future,Bro_ere,1,,103,,,,,,,,,
2019,6/6/2019,7_2,mowing,future,Bro_ere,1,,88,,,,,,,,,
2019,6/6/2019,7_2,mowing,future,Bro_ere,2,,75,,,,,,,,,
2019,6/6/2019,7_3,grazing,future,Bro_ere,1,,115,,,,,,,,,
2019,6/6/2019,7_3,grazing,future,Bro_ere,2,,138,,,,,,,,,
2019,6/6/2019,8_2,grazing,ambient,Bro_ere,1,,140,,,,,,,,,
2019,6/6/2019,8_2,grazing,ambient,Bro_ere,2,,120,,,,,,,,,
2019,6/6/2019,8_3,mowing,ambient,Bro_ere,1,,122,,,,,,,,,
2019,6/6/2019,8_3,mowing,ambient,Bro_ere,2,,150,,,,,,,,,
2019,6/6/2019,9_1,mowing,future,Bro_ere,1,,97,,,,,,,,,
2019,6/6/2019,9_1,mowing,future,Bro_ere,2,,109,,,,,,,,,
2019,6/6/2019,9_4,grazing,future,Bro_ere,1,,82,,,,,,,,,
2019,6/6/2019,9_4,grazing,future,Bro_ere,2,,160,,,,,,,,,
2020,6/3/2020,1_1,mowing,ambient,Bro_ere,1,,23,48,,,,,,,,
2020,6/3/2020,1_1,mowing,ambient,Bro_ere,2,,59,34,,,,,,,,
2020,6/3/2020,2_5,mowing,future,Bro_ere,1,,40,22,,,,,,,,
2020,6/3/2020,2_5,mowing,future,Bro_ere,2,,20,81,,,,,,,,
2020,6/2/2020,3_4,mowing,ambient,Bro_ere,2,,68,29,,,,,,,,
2020,6/2/2020,3_4,mowing,ambient,Bro_ere,1,,29,58,,,,,,,,
2020,6/2/2020,4_4,mowing,future,Bro_ere,1,,34,83,,,,,,,,
2020,6/2/2020,4_4,mowing,future,Bro_ere,2,,4,19,,,,,,,,
2020,6/2/2020,5_5,mowing,ambient,Bro_ere,1,,27,94,,,,,,,,
2020,6/2/2020,5_5,mowing,ambient,Bro_ere,2,,0,76,,,,,,,,
2020,6/2/2020,6_3,mowing,future,Bro_ere,1,,2,111,,,,,,,,
2020,6/2/2020,6_3,mowing,future,Bro_ere,2,,25,32,,,,,,,,
2020,6/2/2020,7_2,mowing,future,Bro_ere,1,,3,42,,,,,,,,
2020,6/2/2020,7_2,mowing,future,Bro_ere,2,,2,75,,,,,,,,
2020,6/2/2020,8_3,mowing,ambient,Bro_ere,1,,0,84,,,,,,,,
2020,6/2/2020,8_3,mowing,ambient,Bro_ere,2,,31,40,,,,,,,,
2020,6/2/2020,9_1,mowing,future,Bro_ere,1,,52,50,,,,,,,,
2020,6/2/2020,9_1,mowing,future,Bro_ere,2,,4,95,,,,,,,,
2020,6/2/2020,10_2,mowing,ambient,Bro_ere,1,,0,51,,,,,,,,
2020,6/2/2020,10_2,mowing,ambient,Bro_ere,2,,0,84,,,,,,,,
2020,6/9/2020,1_3,grazing,ambient,Bro_ere,1,,32,20,,,,,,,,
2020,6/9/2020,1_3,grazing,ambient,Bro_ere,2,,31,40,,,,,,,,
2020,6/9/2020,2_2,grazing,future,Bro_ere,1,,12,31,,,,,,,,
2020,6/9/2020,2_2,grazing,future,Bro_ere,2,,8,19,,,,,,,,
2020,6/9/2020,3_5,grazing,ambient,Bro_ere,1,,17,32,,,,,,,,
2020,6/9/2020,3_5,grazing,ambient,Bro_ere,2,,20,13,,,,,,,,
2020,6/9/2020,4_5,grazing,future,Bro_ere,1,,14,32,,,,,,,,
2020,6/9/2020,4_5,grazing,future,Bro_ere,2,,22,11,,,,,,,,
2020,6/9/2020,5_4,grazing,ambient,Bro_ere,1,,19,13,,,,,,,,
2020,6/9/2020,5_4,grazing,ambient,Bro_ere,2,,27,24,,,,,,,,
2020,6/9/2020,6_1,grazing,future,Bro_ere,1,,14,19,,,,,,,,
2020,6/9/2020,6_1,grazing,future,Bro_ere,2,,19,18,,,,,,,,
2020,6/9/2020,7_3,grazing,future,Bro_ere,1,,31,13,,,,,,,,
2020,6/9/2020,7_3,grazing,future,Bro_ere,2,,33,4,,,,,,,,
2020,6/9/2020,8_2,grazing,ambient,Bro_ere,1,,35,24,,,,,,,,
2020,6/9/2020,8_2,grazing,ambient,Bro_ere,2,,,,,,,Tüte leer,,,,
2020,6/9/2020,9_4,grazing,future,Bro_ere,1,,8,46,,,,,,,,
2020,6/9/2020,9_4,grazing,future,Bro_ere,2,,4,51,,,,,,,,
